ds,yhat,yhat_lower,yhat_upper
2015-01-31,14300.78862985962,4710.675503511394,22654.573628767805
2015-02-28,2292.4907754237356,-6567.882642336243,11891.497526279074
2015-03-31,52016.921024766336,43513.44930543437,61347.133293462386
2015-04-30,21123.41313442593,11479.900154385714,31052.135143723313
2015-05-31,22726.497781328253,13005.185833047788,32158.372111838617
2015-06-30,29917.675535878807,21071.94919557005,39614.84545140888
2015-07-31,25841.090854815102,16923.84286068833,34817.12794729069
2015-08-31,24904.308480717824,15532.016425950667,33875.47735443197
2015-09-30,70749.55291186842,61067.23539744877,79416.56394700102
2015-10-31,38069.69156731027,29390.949637408637,47750.70971091168
2015-11-30,80843.73659174814,71681.3513332649,90021.2211101064
2015-12-31,63393.26891232001,54480.29397535889,72941.05113084102
2016-01-31,19349.245440781207,10450.360841849742,28314.44674994597
2016-02-29,14205.699881374505,4526.3678720909265,23156.37030103605
2016-03-31,33166.00793057265,23378.503786070734,41901.68978660034
2016-04-30,32995.51395851704,23929.236142809135,41952.541173996404
2016-05-31,40181.72931158876,30730.659591087733,49225.59801765794
2016-06-30,28602.332694545614,18866.83902769471,37698.67591823388
2016-07-31,32163.019802718503,23246.34163093536,42183.683486769536
2016-08-31,38791.84112854717,29415.708969720163,48482.37491822983
2016-09-30,63984.03471503621,53883.47142323674,73766.32342307626
2016-10-31,46040.10639288742,36620.39099637303,55249.81351578344
2016-11-30,78370.90457626089,69068.97806937451,87904.56204795145
2016-12-31,81357.47367364998,71826.27976053637,91052.79842477862
2017-01-31,26112.348490121323,16828.700399000423,35136.31419805752
2017-02-28,18207.642037705602,9605.450063886792,27625.07903882836
2017-03-31,47851.89423805761,39102.243985868474,57001.26864398677
2017-04-30,37865.74867956248,28391.136154896903,47319.83916654696
2017-05-31,43316.655064354556,33953.19720888299,52363.237709994275
2017-06-30,38245.53978413644,28878.139911258135,47518.49376093415
2017-07-31,39624.274455577804,30868.95878926638,49105.24856526089
2017-08-31,43931.24793157851,35324.69324936944,52892.26322967428
2017-09-30,76334.69566671678,67580.66252865938,85663.93515539062
2017-10-31,53810.170126575715,44709.38583570833,62697.38297374461
2017-11-30,89780.864875184,80844.64742255998,99208.67046432769
2017-12-31,86035.93549953314,77347.67769892653,95872.34810604835
2018-01-31,34521.34167808437,25041.42885345099,43767.70900879028
2018-02-28,24656.677809651148,15312.38939042831,33571.32193330766
2018-03-31,64561.312518807776,55420.998163895725,74133.79122116533
2018-04-30,44333.47065286913,35348.59452487438,54063.57109732434
2018-05-31,47925.11863089558,38974.03097075975,57687.23546406947
2018-06-30,49114.9108783445,39907.064770622346,58691.3490122238
2018-07-31,47949.460497000924,38395.5098310724,57515.01333323317
2018-08-31,49735.77201196174,40550.01595148747,58906.217048697756
2018-09-30,89026.81994776128,80153.24732498788,98191.38030772758
2018-10-31,61590.5238970815,51204.599198610216,70960.1299523463
2018-11-30,101136.33696332038,91440.72220165933,110315.44925997463
2018-12-31,90673.80060472057,81563.55441299482,99992.99905391947
2019-01-31,42990.532200576694,33715.44269637755,51526.43961075644
2019-02-28,31248.159920392925,21777.11348360193,41079.540563475915
2019-03-31,81267.00777051749,72043.12063813453,90340.70906150251
2019-04-30,50658.42013918931,41128.644009658274,60219.60669080223
2019-05-31,52555.92238525572,43837.214002744055,61317.029367152776
2019-06-30,60032.02039671067,50752.00962511237,69584.85166557944
2019-07-31,56249.85331446422,47614.921357596024,65487.71229372245
2019-08-31,55607.48853999388,46282.5525402576,65135.9506422855
2019-09-30,101737.65323028591,92612.6195506861,110732.12939867254
2019-10-31,69352.2094869122,60531.6626158481,78868.26212473962
2019-11-30,112411.17476835768,103832.56112115226,122189.97520098898
2019-12-31,95255.12468646806,85130.29517286626,104184.94897377094
2020-01-31,51505.518812405804,42288.673630095225,61199.017204408934
2020-02-29,46637.38050331698,37803.65526241233,55838.98682286671
2020-03-31,65892.08914718284,56692.129095463955,75101.51720184046
2020-04-30,66006.49897649157,57207.331143023424,75147.51404374563
2020-05-31,73486.7439428056,63653.942957976986,82338.65606126635
2020-06-30,62191.60779877862,53387.00853116571,71764.9571784887
2020-07-31,66046.03072914934,56680.53215272797,74838.96526857097
2020-08-31,72967.51282579542,64321.8087881135,81747.0810742173
2020-09-30,98442.25168821463,89218.11994777767,107797.43232954998
2020-10-31,80790.28681788353,71300.55423693861,90022.76987343936
2020-11-30,113125.18138605665,103297.48750010974,122172.4808482893
2020-12-31,116115.39358311651,106966.66995064098,125281.26859607354
2021-01-31,60873.91149929428,51718.43205253946,70089.37849938308
2021-02-28,52972.13582642853,43383.11160691358,62379.21814841675
2021-03-31,82619.18419056182,73166.51467593438,91173.7914161949
2021-04-30,72635.74459705164,62901.85469271828,82146.49368914055
2021-05-31,78089.35245127806,68267.26567363215,87137.43444396461
2021-06-30,73020.10933101611,63129.03153379043,82818.11238201182
2021-07-31,74400.77856773141,65808.613473467,84015.21693766223
2021-08-31,78708.85350543371,69624.12197830058,87362.88698912645
2021-09-30,111112.70468434886,102063.32482873551,120822.3031839137
2021-10-31,88588.59603617997,79306.984339146,98048.24524073827
2021-11-30,124559.40873727639,114904.78699983236,133219.1531094028
2021-12-31,120814.47988135356,111514.587086546,130981.0172049478
2022-01-31,69299.88657961824,59801.812800478394,78752.67362773078
2022-02-28,59435.22271226574,49382.17764894531,68380.73277165928
2022-03-31,99339.8574214363,89479.64422744604,109014.24769593049
2022-04-30,79112.01555547635,69227.27660204122,89402.37529375615
2022-05-31,82703.66353350152,73312.86810452667,92120.23324473402
2022-06-30,83893.45578098127,74161.7041100051,93314.03933652482
2022-07-31,82728.00539965281,73170.66082969446,92009.76474967784
2022-08-31,84514.3169146047,74722.85275151956,94555.59629481276
2022-09-30,123805.36485043755,113780.44950798538,133313.76375076763
2022-10-31,96369.0687997098,86900.71826627191,105995.44557953766
2022-11-30,135914.88186591648,126124.43925364577,146164.13883955491
2022-12-31,125452.34550733525,115761.30177538913,135524.99901550217
2023-01-31,77769.07710317377,67587.20036166925,87644.01462215943
2023-02-28,66026.70482301438,56479.65054402526,75745.30591999769
2023-03-31,116045.55267325128,106113.99346167805,126070.8726732626
2023-04-30,85436.96504180733,75584.06750857811,94667.14766845694
2023-05-31,87334.46728786435,77234.93702602194,97759.50082322654
2023-06-30,94810.56529933501,84872.36216145908,103555.21258538673
2023-07-31,91028.39821708016,81163.56246113345,100920.83778135892
2023-08-31,90386.033442621,81003.37613518648,100067.52721293044
2023-09-30,136516.198132953,126774.50132045973,146260.8776548576
2023-10-31,104130.75438953942,94242.78370149792,114384.34170375441
2023-11-30,147189.7196709631,136980.50323099364,157520.55665295143
2023-12-31,130033.66958904412,119560.2683062538,140893.81673369702
